# Angle of attack (Â°),Multiplier ()
90,0
90,0
87.943,1.1381e-4
85.115,0.0014804
81.893,0.0065301
78.669,0.017183
75.576,0.03417
72.565,0.058157
69.648,0.089123
66.836,0.12661
64.135,0.16984
61.898,0.21101
59.812,0.25368
57.873,0.29695
56.068,0.34017
54.389,0.38279
52.358,0.43722
50.424,0.49168
48.584,0.54553
46.836,0.59826
45.175,0.64946
44.157,0.68126
43.21,0.71104
42.327,0.73893
41.503,0.76501
40.732,0.78941
39.561,0.82639
38.451,0.86128
37.402,0.894
36.408,0.92461
35.468,0.9532
34.606,0.97901
33.789,1.003
33.014,1.0254
32.279,1.0462
31.581,1.0655
31.172,1.0766
30.789,1.0868
30.424,1.0964
30.072,1.1056
29.733,1.1143
29.352,1.1239
28.984,1.133
28.627,1.1416
28.282,1.1499
27.948,1.1577
27.605,1.1655
27.105,1.1767
25.942,1.2012
23.996,1.2372
21.739,1.2699
19.343,1.2923
17.726,1.2992
16.625,1.2996
15.175,1.2904
13.43,1.2659
11.966,1.2367
10.488,1.2017
9.4281,1.1745
7.7946,1.1314
6.3422,1.0941
6.0618,1.0872
5.8986,1.0833
5.2255,1.0676
4.5556,1.0531
3.9423,1.0409
3.6728,1.036
3.41,1.0314
3.1581,1.0272
3.2949,1.0294
2.7735,1.0214
1.9049,1.0105
1.2797,1.0048
0.93238,1.0026
1.1799,1.0041
1.5503,1.007
1.7188,1.0086
1.7563,1.0089
1.8566,1.01
1.8108,1.0095
1.8872,1.0103
2.6711,1.0199
3.2481,1.0287
3.4495,1.032
3.7064,1.0366
3.7974,1.0382
4.0775,1.0435
4.5519,1.053
5.1895,1.0668
5.5419,1.0749
5.8221,1.0815
6.0976,1.0881
6.2341,1.0914
6.2143,1.091
6.2596,1.0921
6.2634,1.0922
6.4295,1.0963
6.6531,1.1019
6.8062,1.1058
7.1321,1.1141
7.4071,1.1212
7.4816,1.1232
7.2896,1.1182
7.2584,1.1174
7.4214,1.1216
7.4555,1.1225
7.3317,1.1193
7.2137,1.1162
7.0137,1.1111
6.6738,1.1024
6.2154,1.091
5.8662,1.0825
5.4809,1.0734
5.0336,1.0633
4.5749,1.0535
4.1708,1.0453
3.7233,1.0369
3.2706,1.029
2.8267,1.0221
2.3846,1.0161
1.9266,1.0107
1.4643,1.0063
1.004,1.003
0.53581,1.0009
0.067951,1
0.40879,1.0005
0.89072,1.0024
1.3646,1.0055
1.8813,1.0102
2.3964,1.0162
2.8574,1.0226
3.3069,1.0296
3.759,1.0375
4.1292,1.0445
4.4588,1.0511
4.7093,1.0563
4.8234,1.0587
4.917,1.0608
4.9343,1.0612
4.7708,1.0576
4.5978,1.054
4.4411,1.0507
4.185,1.0456
3.7837,1.038
3.3284,1.03
2.8151,1.022
2.2594,1.0145
1.7973,1.0094
1.318,1.0051
0.76402,1.0018
0.34968,1.0004
0.056744,1
0.50193,1.0008
0.84856,1.0022
1.1303,1.0038
1.3541,1.0054
1.5795,1.0073
1.885,1.0102
2.1363,1.013
2.383,1.016
2.5635,1.0184
2.6477,1.0196
2.6753,1.02
2.532,1.018
